unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
Ward,rosa damascena,petals,cold wet,['geraniol'],['skin irritation'],['burning redness'],rose water topically,the herb formulation is used in the treatment of skin irritation,,وارڈ,روزا ڈاماسینا,پتلی,سرد گیلے,['جیرانیول'],['جلد کی تڑپنا'],['جلتی ہوئی سرخگی'],گلاب کا پانی مقامی طور پر,جڑی بوٹیوں کی تشکیل کو جلد کی تڑپ کے علاج میں استعمال کیا جاتا ہے
Zaafran,crocus sativus,stigma,hot dry,['crocin'],['depression impotence'],['low mood ed'],50 100mg with milk,the herb formulation is used in the treatment of depression impotence,,زافران,کراس سٹیو,بدنامی,گرم خشک,['کراسین'],['ڈپریشن قوت مدافعت'],['کم مزاج'],دودھ کے ساتھ 50 100mg,ڈپریشن اور قوت مدافعت کے علاج میں جڑی بوٹیوں کا استعمال کیا جاتا ہے
Aftimun,cuscuta reflexa,stem,cold wet,['cuscutin'],['liver disorders'],['jaundice weakness'],3 5g decoction,the herb formulation is used in the treatment of liver disorders,,افٹمن,کُسکوٹا ریفلیکس,ٹانگ,سرد گیلے,['کُسکوٹین'],['جگر کی خرابی'],['پیلے رنگ کی بیماری'],3 5 جی ڈائیکوریشن,جگر کی خرابیوں کے علاج میں جڑی بوٹی کی تشکیل کا استعمال کیا جاتا ہے
Bisfayej,delphinium denudatum,root,hot dry,['alkaloids'],['neuralgia paralysis'],['nerve pain tremors'],500mg powder,the herb formulation is used in the treatment of neuralgia paralysis,,بِسفائیج,ڈلفینیم ڈینوڈاتم,جڑ,گرم خشک,['الکلوئڈ'],['نیورالجیہ کا مفلوج'],['اعصابی درد لرزنے'],500mg پاؤڈر,جڑی بوٹیوں کی تشکیل نیورالجیہ کے مفلوج کے علاج میں استعمال کی جاتی ہے
Chiraita,swertia chirayita,whole plant,cold dry,['amarogentin'],['malaria fever'],['high temperature chills'],2 3g decoction,the herb formulation is used in the treatment of malaria fever,,چیرائتا,سویرتیا چیریتا,پورے پلانٹ,سرد خشک,['اماروجینٹین'],['ملیریا بخار'],['اعلی درجہ حرارت پر ٹھنڈک'],2 3 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل ملیریا بخار کے علاج میں استعمال ہوتی ہے
Darchini,cinnamomum verum,bark,hot dry,['cinnamaldehyde'],['cold fatigue'],['low energy cough'],1 2g powder,the herb formulation is used in the treatment of cold fatigue,,ڈارچینی,سناموموم وروم,جھونپڑنا,گرم خشک,['سنملڈیہائیڈ'],['سردی کی تھکاوٹ'],['کم توانائی کا کھانسی'],12 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل سرد تھکاوٹ کے علاج میں استعمال کی جاتی ہے
Gazar,daucus carota,seeds,hot dry,['carotol'],['kidney stones'],['painful urination'],3g powder,the herb formulation is used in the treatment of kidney stones,,گزار,ڈوکس کاروٹا,بیج,گرم خشک,['کاروتول'],['گردے کے پتھر'],['درد ناک پیشاب'],3 جی پاؤڈر,جگر کے پتھر کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Habbul Aas,myrtus communis,fruits,hot dry,['myrtenol'],['uti diarrhea'],['burning urination loose stools'],3 5g decoction,the herb formulation is used in the treatment of uti diarrhea,,حبول آیس,مرطوس کمیونس,پھل,گرم خشک,['مِرِتِنول'],['امراضِ اسہال'],['جلتی ہوئی پیشاب چھلانگیں'],3 5 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل کا استعمال استعمال استعمال میں استعمال کیا جاتا ہے
Izkhar,cymbopogon jwarancusa,leaves,hot dry,['citral'],['fever cough'],['high temperature congestion'],5g infusion,the herb formulation is used in the treatment of fever cough,,ایزکھار,چیمبوپون جوارانکوسا,پتیاں,گرم خشک,['سٹرل'],['بخار کھانسی'],['اعلی درجہ حرارت کی کھوج'],5 جی انفیوژن,جڑی بوٹیوں کا فارمولا بخار اور کھانسی کے علاج میں استعمال کیا جاتا ہے
Lasan,allium sativum,cloves,hot dry,['allicin'],['hypertension infection'],['high bp fever'],1 2 cloves raw,the herb formulation is used in the treatment of hypertension infection,,لسان,allium sativum,کلو,گرم خشک,['الیسین'],['ہائپر ٹینشن انفیکشن'],['اعلی بی پی بخار'],12 کلو کلو خام,ہائپرٹینشن انفیکشن کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال کیا جاتا ہے
Marwa,origanum majorana,leaves,hot dry,['terpinene'],['digestive issues'],['gas indigestion'],3g infusion,the herb formulation is used in the treatment of digestive issues,,ماروا,اوریگنوم میجرانا,پتیاں,گرم خشک,['ٹربینین'],['ہضم کے مسائل'],['گیس کی ہضمابی'],3 جی انفیوژن,ہضم کے مسائل کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال کیا جاتا ہے
Ood-e-Hindi,aquilaria agallocha,wood,hot dry,['agarol'],['asthma nervous disorders'],['wheezing anxiety'],1g powder with honey,the herb formulation is used in the treatment of asthma nervous disorders,,اوڈ ای ہندی,آکیلیریا اگالوچا,لکڑی,گرم خشک,['گارول'],['آسم اعصابی خرابی'],['گھبراہٹ'],شہد کے ساتھ 1 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل آسمہ کے اعصابی امراض کے علاج میں استعمال کی جاتی ہے
Qust,saussurea lappa,root,hot dry,['costunolide'],['asthma arthritis'],['wheezing joint pain'],1 3g powder,the herb formulation is used in the treatment of asthma arthritis,,کُست,ساؤسوریہ لاپپا,جڑ,گرم خشک,['کُستُنولائڈ'],['آسم آرتھراٹس'],['سانسوں میں درد'],1 3 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل آسم آرتھرائٹس کے علاج میں استعمال کی جاتی ہے
Rasna,pluchea lanceolata,leaves,hot dry,['quercetin'],['rheumatism pain'],['swelling stiffness'],5g paste,the herb formulation is used in the treatment of rheumatism pain,,رسنا,پلوچیا لانسیولٹا,پتیاں,گرم خشک,['کریکٹین'],['رومیٹزم درد'],['پھولنے والی سختگی'],5 جی پیسٹ,جڑی بوٹیوں کی تشکیل روماتزم درد کے علاج میں استعمال کی جاتی ہے
Tukhm-e-Karafs,apium graveolens,seeds,hot dry,['limonene'],['urinary retention'],['difficulty urinating'],3g powder,the herb formulation is used in the treatment of urinary retention,,طخمِ کرافس,پائیوڈین,بیج,گرم خشک,['لیمونین'],['پیشاب میں رکاوٹ'],['پیشاب کرنے میں دشواری'],3 جی پاؤڈر,ہربل فارمولاٹولولوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اورجینالوجیکل اور
Vasa,adhatoda vasica,leaves,cold dry,['vasicine'],['bronchitis asthma'],['wheezing shortness of breath'],3 5g decoction,the herb formulation is used in the treatment of bronchitis asthma,,واسا,اَدَدَا وَسِیَکَ,پتیاں,سرد خشک,['ویسیسین'],['برونچائٹس آسم'],['سانس کی قلت'],3 5 جی ڈائیکوریشن,جڑی بوٹیوں کی تشکیل برونچائٹس آسم کے علاج میں استعمال کی جاتی ہے
Waj,turmeric zedoaria,rhizome,hot dry,['curcumene'],['indigestion liver disorders'],['bloating jaundice'],1 3g powder,the herb formulation is used in the treatment of indigestion liver disorders,,واج,زڈوریہ زڈوریہ,ریزوم,گرم خشک,['کرمین'],['ہضم کی خرابی جگر کی خرابی'],['پھولنے والی زردابی'],1 3 گرام پاؤڈر,جگر کی بیماریوں کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Aqaqia,acacia nilotica,gum,cold dry,['arabin'],['mouth ulcers'],['bleeding gums'],gargle 2 solution,the herb formulation is used in the treatment of mouth ulcers,,آقیہ,اکاشیا نیلوتکا,چکنائی,سرد خشک,['عربین'],['منہ میں زخم'],['خون بہنے والا غنجل'],گارگل 2 حل,ہربل فارمولاٹ منہ کے زخموں کے علاج میں استعمال کیا جاتا ہے
Aqarqarha,anacyclus pyrethrum,root,hot dry,['alkylamides'],['facial paralysis toothache'],['numbness drooling'],100mg powder,the herb formulation is used in the treatment of facial paralysis toothache,,عقرہ,اناسائیکلس پیریترم,جڑ,گرم خشک,['الکیلامائڈز'],['چہرے کی مفلوج دانتوں کا درد'],['بے حسی بہنا'],100mg پاؤڈر,جڑی بوٹی کی تشکیل چہرے کی مفلوج دانتوں کے درد کے علاج میں استعمال کی جاتی ہے
Babul,acacia nilotica,bark,cold dry,['tannins'],['mouth ulcers gingivitis'],['bleeding gums pain'],gargle 5 decoction,the herb formulation is used in the treatment of mouth ulcers gingivitis,,بابل,اکاشیا نیلوتکا,جھونپڑنا,سرد خشک,['ٹینن'],['منہ کے زخم جنجینیوائٹس'],['خون بہنے والا دانتوں کا درد'],گارگل 5 ڈائیکاکشن,جڑی بوٹیوں کی تشکیل منہ کے زخموں کے علاج میں استعمال کی جاتی ہے
Dhak,butea monosperma,flowers,cold dry,['butrin'],['intestinal worms diarrhea'],['abdominal cramps itching'],3g powder,the herb formulation is used in the treatment of intestinal worms diarrhea,,ڈاک,بٹیہ مونوسپرما,پھول,سرد خشک,['بٹرن'],['آنتوں کے ڈورموں کا اسہال'],['پیٹ کی گرفتاریوں کا خارش'],3 جی پاؤڈر,جڑی بوٹیوں کی تشکیل کا استعمال آنتوں کے ڈایریا کے علاج میں کیا جاتا ہے
Gurhal,hibiscus rosa sinensis,flowers,cold wet,['anthocyanins'],['hair loss hypertension'],['baldness high bp'],10g decoction,the herb formulation is used in the treatment of hair loss hypertension,,گُرھل,ہبیسکو rosa sinensis,پھول,سرد گیلے,['اینٹوکینز'],['بالوں کا نقصان ہائپر ٹینشن'],['بالوں کی کمی'],10 جی ڈائیکوریشن,بالوں کے گرنے کے ہائپر ٹینشن کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Habbul Gharaq,cassia fistula,fruits,hot wet,['anthraquinones'],['constipation skin diseases'],['hard stools eczema'],5 10g pulp,the herb formulation is used in the treatment of constipation skin diseases,,حبول گراق,کاسیہ فستول,پھل,گرم مٹی,['اینتھراکینونز'],['قبضہ جلد کی بیماریاں'],['سخت فاضل ایگزما'],5 10 جی پلس,جڑی بوٹیوں کی تشکیل قبضہ کی جلد کی بیماریوں کے علاج میں استعمال کی جاتی ہے
Irsa,iris germanica,rhizome,hot dry,['iridin'],['bronchitis cough'],['phlegm congestion'],1g powder with honey,the herb formulation is used in the treatment of bronchitis cough,,ارسا,آئرس جرمنک,ریزوم,گرم خشک,['آریڈین'],['برونچائٹس کھانسی'],['فلیگم کی کھوج'],شہد کے ساتھ 1 گرام پاؤڈر,جڑی بوٹیوں کا فارمولا برونچائٹس کھانسی کے علاج میں استعمال کیا جاتا ہے
Javakhar,salvadora persica,root,cold dry,['salvadorin'],['dental caries gum disease'],['tooth decay bleeding'],chewing stick,the herb formulation is used in the treatment of dental caries gum disease,,جاوکھار,سلواڈورا پرسیکا,جڑ,سرد خشک,['سلواڈورین'],['دانتوں کی خارش دانتوں کی بیماری'],['دانتوں کی خرابی کا خون بہنا'],چھیڑنے والی چھڑی,جڑی بوٹیوں کی تشکیل دانتوں کی کیریس گمن کی بیماری کے علاج میں استعمال کی جاتی ہے
Maweez,rhus coriaria,fruits,cold dry,['gallotannins'],['diarrhea sore throat'],['loose stools pain'],3g decoction,the herb formulation is used in the treatment of diarrhea sore throat,,ماویز,ریوس کوریریا,پھل,سرد خشک,['گیلوٹینینز'],['اسہال، گلے کا درد'],['چھلانگیں درد'],3 جی ڈائیکوریشن,اس کے علاوہ، اس کے ساتھ ساتھ اس کے ساتھ بھی استعمال کیا جاتا ہے.
Nakhuna,onosma bracteatum,flowers,hot dry,['onosmin'],['heart palpitations'],['irregular heartbeat'],3g infusion,the herb formulation is used in the treatment of heart palpitations,,نکھونا,onosma bracteatum,پھول,گرم خشک,['onosmin'],['دل کی دھڑکن'],['دل کی بے ضابطگی'],3 جی انفیوژن,ہرس کی تشکیل دل کے دھڑکنے کے علاج میں استعمال ہوتی ہے
Qust-e-Hindi,saussurea costus,root,hot dry,['costunolide'],['asthma colic'],['wheezing abdominal pain'],1 3g powder,the herb formulation is used in the treatment of asthma colic,,قُستِ ہندی,ساؤسوریہ کوسٹس,جڑ,گرم خشک,['کُستُنولائڈ'],['آسمہ کی کولک'],['پیٹ میں درد'],1 3 گرام پاؤڈر,جڑی بوٹیوں کی تشکیل آسمہ کی کولک کے علاج میں استعمال کی جاتی ہے
